,skill,cluster
12255,engage composers,23
12256,types of chain,2
12257,harvest timber,6
12258,organise transportation for clients,14
12259,perform live,18
12260,manage quantitative data,4
12261,types of table saws,24
12262,give swimming lessons,1
12263,prosthetic devices,6
12264,prepare pasta,22
12265,electrical stimulation in acupuncture,12
12266,use Swoogle,13
12267,agricultural equipment,13
12268,select well equipment,13
12269,organise study information sessions,3
12270,maintain lighting equipment,16
12271,install heat pump,21
12272,repair equipment on site,6
12273,design circuits using CAD,6
12274,JSSS,13
12275,manage forests,6
12276,cybernetics,13
12277,Cain and Abel (penetration testing tool),8
12278,SAP R3,4
12279,handle gas cylinders,6
12280,supervise musicians,23
12281,forecast future ICT network needs,5
12282,learn about customer service,16
12283,participatory decision-making,3
12284,fabricate V-belts,11
12285,pose in front of a camera,7
12286,understand written Gujarati,18
12287,replace cutterhead teeth,24
12288,set up audiovisual peripheral equipment,23
12289,mix grain according to recipe,9
12290,R,13
12291,measure software usability,2
12292,develop chiropractic services,12
12293,make logistical arrangements,14
12294,protect client interests,16
12295,speak different languages,18
12296,char barrels,2
12297,ensure compliance with company regulations,14
12298,segregate raw materials,24
12299,interact verbally in Lithuanian,18
12300,provide charity services,1
12301,conduct erosion control,2
12302,securities,4
12303,handle horses during dental procedures,20
12304,treasury management system,19
12305,store cocoa pressing products,15
12306,mark processed workpiece,2
12307,prepare furniture for application of paint,7
12308,define geographic sales areas,0
12309,generate reconciliation reports,13
12310,remove filament composite workpiece from mandrel,16
12311,represent the company,4
12312,report mine machinery repairs,2
12313,compose condition reports,3
12314,install heating boiler,21
12315,inspect road signs,0
12316,manufacturing of mattresses,7
12317,train artists in flying,14
12318,monitor chemical process condition,1
12319,tend discharge conveyor,6
12320,show sample garments,11
12321,through-hole technology,2
12322,conduct airport environmental studies,14
12323,draft accounting procedures,2
12324,program sound cues,7
12325,operate sieves for spices,9
12326,lead the brand strategic planning process,4
12327,World Wide Web Consortium standards,4
12328,operate wood router,7
12329,animal therapy,0
12330,coordinate with creative departments,7
12331,provide customer follow-up,16
12332,identify terrorism threats,0
12333,utilise economies of scale in projects,3
12334,match vessels to shipping routes,14
12335,monitor production developments,8
12336,typography,13
12337,design thinking,13
12338,repair firearms,5
12339,dredging consoles,0
12340,develop communicable disease control policies,12
12341,support sport in media,0
12342,mark lumber,6
12343,Islam,4
12344,lift safety legislation,6
12345,change watch battery,6
12346,waste removal regulations,10
12347,meet building regulations,8
12348,make drawings,7
12349,diagnose genetic diseases,5
12350,perform soundchecks,23
12351,communicate in English in a competent way,18
12352,develop professional network with researchers and scientists,3
12353,keep records of bid history,8
12354,shunt inbound loads,0
12355,maintain gas mileage records,8
12356,review music therapy treatment approaches,23
12357,Prolog (computer programming),2
12358,focus lighting equipment,16
12359,perform beverage dealcoholisation,22
12360,preserve airport maintenance equipment,1
12361,treat medical conditions with art therapy,7
12362,meet the requirements of social security reimbursement bodies,5
12363,apply measures to prevent snow removal safety hazards,1
12364,assess supplier risks,6
12365,agronomical production principles,10
12366,plan maintenance activities,1
12367,assess healthcare users' risk for harm,12
12368,business analysis,4
12369,conduct full-scale emergency plan exercises,0
12370,operate control systems,17
12371,alumina ceramic,7
12372,create gambling games concepts,5
12373,philology,18
12374,perform street interventions in social work,5
12375,apply procedures and regulations for eco-labelling,13
12376,operate open source software,3
12377,natural gas liquids fractionation processes,9
12378,identify clients' needs,16
12379,customer relationship management,4
12380,use squaring pole,16
12381,allergies,5
12382,check in passengers,2
12383,use deinking chemicals,1
12384,perform clinical neurophysiological examinations,12
12385,advise on sustainable management policies,10
12386,design pharmaceutical manufacturing systems,1
12387,carry out interviews to select artistic team members,7
12388,cavity optomechanics,7
12389,fundamental veterinary sciences,0
12390,identify support mechanisms to develop your professional practice,3
12391,ICT encryption,5
12392,treat nails,24
12393,develop aquaculture strategies,3
12394,reproduce documents,8
12395,create relationships with sport competitors,0
12396,maintain healthcare user data confidentiality,12
12397,render 3D images,7
12398,alter wearing apparel,16
12399,tend tube drawing machine,6
12400,printing media,11
12401,attend castings,23
12402,trends in fashion,16
12403,occupational health,3
12404,identify surveillance devices,2
12405,cut filament,16
12406,monitor gaming room,8
12407,advise on plant fertilizer ,10
12408,implement ICT risk management,5
12409,understand spoken Romanian,18
12410,perform on-farm product processing,11
12411,alter management,19
12412,examine engineering principles,17
12413,operational research,13
12414,stimulate the performers' kinaesthetic sense,23
12415,clarify oil by settlement,5
12416,adapt developed game to the market,5
12417,respond to changing situations in health care,19
12418,prepare for auction,16
12419,correct fitness customers,0
12420,prepare railway technical studies,14
12421,assist in the movement of heavy loads,6
12422,carry out artificial insemination of livestock,13
12423,engage in physiotherapy research,12
12424,teach history,8
12425,develop waste management processes,10
12426,apply transportation management concepts,14
12427,follow-up lab results,4
12428,handle harvested fish,8
12429,voice interpreting,18
12430,interpret electroencephalograms,12
12431,design electromagnets,17
12432,work in assembly line teams,3
12433,collaborate with engineers,13
12434,clean engraved areas,2
12435,analyse consumer buying trends,2
12436,maintain pricing database,16
12437,geographic information systems,0
12438,establish daily priorities,3
12439,maintain circulation system,12
12440,apply forest legislation,6
12441,types of polymers,2
12442,operate front loader,6
12443,work in a land-based team,7
12444,write Occitan,18
12445,regulations on substances,1
12446,pollution legislation,10
12447,compare alternative vehicles,14
12448,weigh parts of animal carcasses,0
12449,create concept of digital game,5
12450,plan surface slope,11
12451,check prices on the menu,16
12452,select breeding stock,0
12453,negotiate land acquisition,8
12454,heat transfer processes,21
12455,oversee the design of touristic publications,19
12456,hair,3
12457,develop translation memory software,18
12458,add paint thinners,7
12459,soak film in water,7
12460,monitor social impact,3
12461,determine imaging techniques to be performed,7
12462,develop predictive models,13
12463,digital communication and collaboration,5
12464,therapeutic massage,12
12465,apply foreign language for international trade,18
12466,maintain lottery equipment,5
12467,prune hedges and trees,11
12468,manage venue programme,23
12469,supervise camp operations,19
12470,operate switching locomotives,14
12471,program firmware,17
12472,polish dental restorations,8
12473,budgetary principles,19
12474,operate GPS systems,0
12475,fill the rubber processing machine,11
12476,e-learning software infrastructure,3
12477,use paint safety equipment,7
12478,repair lenses,7
12479,apply restoration techniques,8
12480,administer ingredients in food production,15
12481,allocate keys,19
12482,rinse photographic film,7
12483,prepare cleaning materials for window cleaning,11
12484,theories of personality,3
12485,propose improvements to artistic production,7
12486,understand spoken Persian,18
12487,type error-free documents,2
12488,test visual acuity,7
12489,maintain hammer mill,9
12490,monitor contractor performance,13
12491,exercise physiology,0
12492,handle cargo,14
12493,manage time in fishery operations,3
12494,interact verbally in Italian,18
12495,coordinate public-private partnerships in tourism,19
12496,supervise camera crew,7
12497,operate pellet press,22
12498,operate stage movement control system,23
12499,robotic components,6
12500,manage clinical risk,12
12501,embalm bodies,18
12502,protect health and well-being while using digital technologies,5
12503,specify landscape design components,7
12504,monitor the welfare of animals,0
12505,operate a range of underground mining equipment,2
12506,evaluate forensic data,2
12507,protect vulnerable social service users,5
12508,review event bills,8
12509,sell gaming activities in casino,5
12510,plant care products,10
12511,combine multiple fields of knowledge,3
12512,interact verbally in Kazakh,18
12513,balneotherapy,12
12514,engage with stakeholders,4
12515,recognise fake goods,11
12516,biodiesel,17
12517,advise on cultural exhibitions,19
12518,AJAX,17
12519,extract products from moulds,21
12520,liaise with typists,19
12521,meet commitments in hospitality,19
12522,thermohydraulics,5
12523,kinesiology,12
12524,repair metal sheets,24
12525,coat seams with putty,11
12526,select illustration styles,2
12527,pharmaceutical drug development,1
12528,participate in health personnel training,15
12529,monitor fuel storage tanks,9
12530,obtain stage weapon permits,5
12531,maintain clocks,6
12532,apply preservation treatments,11
12533,pathogenic microorganisms,9
12534,computational mechanics,7
12535,analyse supply chain trends,6
12536,below-the-line technique,7
12537,deliver a sales pitch,16
12538,identify the needs of your participants,3
12539,prepare health certificates for fishery products,3
12540,supervise unloading of cargo,14
12541,encourage healthcare user's self-monitoring,12
12542,control systems,17
12543,Taleo,13
12544,promote health in specialised care,12
12545,filter edible oils,9
12546,inspect quality of products,11
12547,commission set construction,16
12548,transfer oil,9
12549,identify props,13
12550,supply chain principles,6
12551,plan aftersales arrangements,16
12552,maintain cutting equipment,24
12553,calculate the productivity of the production of footwear and leather goods,3
12554,measure fruits or vegetables,22
12555,assign codes to product items,11
12556,maintain library inventory,8
12557,assist community,3
12558,acting techniques,23
12559,materials for interior design,2
12560,operate spreader,9
12561,meet contract specifications,16
12562,coordinate music components of the work,23
12563,conduct workplace audits,8
12564,refractive power,16
12565,maintain client debt records,8
12566,integrate engineering principles in architectural design,2
12567,promote animals,0
12568,evaluate vineyard quality,22
12569,plan beamhouse operations,1
12570,boxing,0
12571,grade patterns for wearing apparel,16
12572,integrate and re-elaborate digital content,5
12573,quality criteria for storage facilities,19
12574,read musical score,23
12575,TripleStore,4
12576,traditional Chinese medicine,12
12577,manage electricity transmission system,17
12578,diagnose disorders of the urogenital system,4
12579,interpret electronic design specifications,17
12580,manage environmental impact of operations,10
12581,adjust curing ovens,21
12582,create content title,13
12583,follow given instructions,21
12584,MATLAB,2
12585,port regulation,1
12586,diagnose aquatic animals disease symptoms,3
12587,sterilise medical equipment,9
12588,design enterprise architecture,2
12589,foreign valuta,13
12590,polish stone surfaces,24
12591,ensure regulatory compliance in pipeline infrastructures,2
12592,industrial paint,7
12593,RAGE (digital game creation systems),5
12594,statistical modeling techniques,2
12595,educate patient's relations on care,12
12596,by-products ,11
12597,develop immigration policies,5
12598,treat patients' nails,24
12599,coastal management,3
12600,manufacture staple yarns,11
12601,create original drawings,7
12602,type of file,2
12603,review construction plans authorisations,19
12604,manage airport development resources,14
12605,upsell products,16
12606,coating substances,11
12607,types of digesters,9
12608,supervise betting operations,5
12609,advise on hair style,3
12610,analyse foreign affairs policies,13
12611,vessel fuels,17
12612,monitor ICT research,5
12613,advocate a cause,5
12614,modern portfolio theory,4
12615,sew textile-based articles,11
12616,monitor wildlife,0
12617,store raw milk,21
12618,write Japanese,18
12619,weld mining machinery ,2
12620,use specialised equipment,13
12621,perform scripted dialogue,22
12622,control flow of oils,9
12623,advise on social enterprise,5
12624,ABAP,13
12625,inspect water wells,1
12626,collaborate through digital technologies,5
12627,provide basic support to patients,12
12628,sew puppet clothing,11
12629,materials for doll creation,7
12630,manage nutrients,15
12631,public service concession,3
12632,wine related sciences,22
12633,analyse transportation costs,14
12634,cultivate hops,13
12635,develop digital content,5
12636,use stonemason's chisel,2
12637,monitor the validity of ship certificates,3
12638,Yiddish,18
12639,type on electronic devices,17
12640,greet guests,19
12641,manage the health and welfare of livestock,10
12642,use online tools to collaborate,17
12643,handle different pottery materials,24
12644,advise on foreign affairs policies,13
12645,influence policy makers on social service issues,3
12646,manage import export licenses,14
12647,work independently in service of a food production process,15
12648,operate excavator,2
12649,types of violins,23
12650,supervise physiotherapy students,12
12651,mechanical forging press parts,22
12652,suggest revision of manuscripts,2
12653,manage IT security compliances,1
12654,assemble machines,7
12655,health records management,12
12656,perform selective demolition,11
12657,design thermal requirements,21
12658,manage processes,1
12659,diplomatic principles,13
12660,understand budgetary limits,19
12661,environmental threats,14
12662,natural fertilisers,10
12663,promote fitness customer referral,0
12664,feed glass fibre into pultrusion machine,11
12665,communicate regarding food labelling interdisciplinary issues,13
12666,perform carbonation processes,21
12667,develop information security strategy,1
12668,provide advice on travel destinations,3
12669,operate digital hardware,17
12670,use welding equipment,2
12671,remove debris,11
12672,assign vehicles in accordance with requirements,14
12673,Montessori learning equipment,3
12674,prepare environment for veterinary surgery,0
12675,advise on provision of social services ,5
12676,provide physiotherapy diagnosis,12
12677,exercise sports,0
12678,decide on insurance applications,14
12679,print stripping,11
12680,ICT software specifications,5
12681,curdling of cheese,21
12682,stay up-to-date with hair style trends,3
12683,manage time in tourism,3
12684,do cloud refactoring,1
12685,source colour chemicals,16
12686,tend milk filling machines,6
12687,identify drying defects in wood,6
12688,tend corn starch extraction machines,9
12689,maintain adequate medication storage conditions,1
12690,aesthetics,2
12691,teach train driving principles,14
12692,handle guest luggage,14
12693,kosher slaughtering practices,0
12694,cold drawing processes,7
12695,techniques of blood-sampling,4
12696,practice gestalt therapy,12
12697,assess operating cost,19
12698,prepare animals for anaesthesia,12
12699,protect employee rights,3
12700,disseminate general corporate information,4
12701,check functionality of essential components of airport vehicles,14
12702,conserve natural resources,17
12703,employ cognitive behaviour treatment techniques,3
12704,verify engraving accuracy,2
12705,coffee characteristics,15
12706,put up price tags,16
12707,stun animals,0
12708,pair beer with food,22
12709,dispense medicines,1
12710,practise extreme sports,0
12711,use scripting programming,22
12712,advise customers on storage of meat products,15
12713,sell toys and games,13
12714,perform a prosthetic examination of the patient,4
12715,manage intellectual property rights,14
12716,types of strings,2
12717,apply HACCP,11
12718,manufacturing of steam generators,21
12719,communicate about youth's well-being,1
12720,install cable TV services,5
12721,teach customer service techniques,16
12722,management systems standards,4
12723,understand written Romanian,18
12724,set up crane,6
12725,control train departures,14
12726,interact verbally in Croatian,18
12727,develop film,7
12728,"browse, search and filter data, information and digital content",4
12729,prepare forecasts for take-off and landing,2
12730,set organisational policies,1
12731,monitor ticketing,0
12732,test chemical auxiliaries,1
12733,test wind turbine blades,21
12734,cast jewellery metal,24
12735,execute feasibility study,3
12736,evaluate blockchain architectures,17
12737,manage theft prevention,1
12738,develop a specific interior design,2
12739,perform glazing reconditioning,7
12740,communication principles,5
12741,contraindications,1
12742,play the piano,23
12743,credit control processes,8
12744,provide training on e-learning,3
12745,conduct financial surveys,2
12746,build up rubber plies,24
12747,monitor winemaking process,22
12748,create storyboards,4
12749,biological chemistry,1
12750,communicate with waste treatment facilities,10
12751,supervise advocacy work,5
12752,operate hydrogen extraction equipment,17
12753,electrical mine machinery manuals,2
12754,develop an organisational structure,4
12755,manage different ceramic firing techniques,7
12756,write Korean,18
12757,give massages,12
12758,tend plasma cutting machine,6
12759,apply clinical chiropractic competencies in sport,12
12760,root cause analysis,4
12761,genomics,8
12762,geological factors in airport construction,14
12763,build rapport with people from different cultural backgrounds,18
12764,follow up online user requests,0
12765,apply cross-reference tools for product identification,11
12766,advise customers on sewing patterns,7
12767,manipulate prosthetic-orthotic device materials,6
12768,monitor stock level,8
12769,manage fisheries projects,3
12770,tend acidulation tanks,6
12771,develop radiation protection strategies,20
12772,TypeScript,17
12773,enforce safety procedures when working at heights,0
12774,iconography,2
12775,contribute to specialised publications,4
12776,musical theory,23
12777,put uncut recordings into computer,23
12778,enforce regulations of selling tobacco to minors,15
12779,music literature,4
12780,Albanian,18
12781,advise on training courses,3
12782,coordinate redecoration of hospitality establishment,19
12783,provide stabilisation care in emergency,18
12784,CryEngine,11
12785,draft the rules of the mediation service,5
12786,develop vaccines,5
12787,insourcing strategy,13
12788,arrange audit,8
12789,operate thickness planer machine,7
12790,capacity building,6
12791,analyse blood samples,4
12792,understand spoken Swedish,18
12793,maintain shellfish depuration equipment,3
12794,attach accounting certificates to accounting transactions,8
12795,evaluate musical ideas,23
12796,utilise machine learning,2
12797,electrical household appliances products,17
12798,understand written Sardinian,18
12799,interpret current data,17
12800,education law,3
12801,perform euthanasia on animals,0
12802,social justice,20
12803,provide nursing care in community settings ,12
12804,gather technical information,17
12805,monitor oil blending process,9
12806,digital compositing,5
12807,solid mechanics,7
12808,information architecture,17
12809,add colour,16
12810,organise wine cellar,22
12811,prepare case files in relation to animal related investigations,0
12812,operate call distribution system,1
12813,memorise script,3
12814,perform inspections of food-processing plants,10
12815,Telugu,18
12816,monitor patients during surgery,12
12817,compile airport certification manuals,14
12818,palliative settings,18
12819,disseminate results to the scientific community,13
12820,liaise with the transported goods' workers,19
12821,prepare offset printing machine,11
12822,produce sales reports,16
12823,footwear manufacturing technology,3
12824,apply anti-oppressive practices,5
12825,tend compression moulding machine,6
12826,use telescopic handlers,2
12827,repair clocks,6
12828,develop a repertoire for music therapy sessions,23
12829,water chemistry analysis,1
12830,operate money-processing machine,2
12831,operate grain cleaning machine,9
12832,hazard analysis and critical control points,18
12833,promote social awareness,3
12834,liaise with logistics management teams,14
12835,exercise self-reflection,7
12836,operate waste incinerator,10
12837,maintain vineyard machinery,22
12838,compose playlist,23
12839,ICT architectural frameworks,5
12840,correct temporomandibular joint abnormalities,12
12841,lift heavy weights,6
12842,produce impressions for ear moulds,4
12843,notify customers on special offers,16
12844,draw up stage layouts digitally,23
12845,process incident reports for prevention,14
12846,create data sets,8
12847,use non-destructive testing equipment,8
12848,quantitative analysis,2
12849,communicate with nursing staff,12
12850,prepare government funding dossiers,19
12851,plant species,10
12852,hatchery design,13
12853,advise on family planning,2
12854,handle customer requests related to cargo,14
12855,Adobe Photoshop,7
12856,assemble bombs,13
12857,organise participation in local or international events,19
12858,types of wood chippers,24
12859,prevent paper jams,11
12860,manage stock rotation,19
12861,orthopaedic goods industry,6
12862,natural history,8
12863,skateboard,0
12864,develop organisational information goals,13
12865,distribute meals to patients,15
12866,read palms,13
12867,analyse information processes,17
12868,develop sports programmes,0
12869,handle timber-based products,6
12870,plan patient menus,16
12871,use mine planning software,2
12872,transport pipes,2
12873,test artist flying systems,14
12874,assemble costume parts,7
12875,perform small vessel safety procedures,3
12876,apply techniques of occupational therapy,3
12877,operate sandblaster,11
12878,drive two-wheeled vehicles,14
12879,use mathematical tools and equipment,2
12880,ergonomics in footwear and leather goods design,3
12881,review completed contracts,16
12882,estimate costs in farm,19
12883,audio editing software,23
12884,green automotive technologies,10
12885,test the rail-flaw-detection machine,6
12886,install metal roofing,6
12887,postpartum period,13
12888,manage removal of disabled aircraft,14
12889,international business,3
12890,perform clerical duties,8
12891,operate follow spots,2
12892,memorise large amounts of information,3
12893,demonstrate emergency procedures,0
12894,Parrot Security OS,6
12895,coordinate fire fighting,2
12896,remove concrete forms,7
12897,galvanise metal workpiece,9
12898,work on psychosomatic issues,12
12899,report on fuel distribution incidents,17
12900,follow up nutrition care plan,15
12901,buy advertising space,13
12902,recognise patients' reaction to therapy,12
12903,develop security concepts,1
12904,develop business plans,4
12905,update budget,19
12906,perform minor repairs to buildings' systems,6
12907,supervise spoken language learning,18
12908,business ICT systems,5
12909,build miniature sets,5
12910,follow organisational guidelines in the cleaning industry,11
12911,cook seafood,3
12912,perform forensic examinations,2
12913,install electricity meter,6
12914,prepare printing form,11
12915,task algorithmisation,3
12916,coordinate technological activities,9
12917,advise on legal decisions,14
12918,assess students,3
12919,advise on participation in financial markets,4
12920,tobacco brands,15
12921,supervise children,1
12922,install wall coverings,16
12923,coordinate road haulage operations,14
12924,wash gutted fish,3
12925,perform VATS,21
12926,maintain wardrobe,16
12927,monitor the production line,6
12928,assess project resource needs,13
12929,psychological theories,3
12930,procure electrical machinery,9
12931,manage physical resources,17
12932,respond to incidents in music therapy sessions,23
12933,transpose designs to engravings,2
12934,search engines,4
12935,manage airport vehicle licences,14
12936,evaluate training,3
12937,design woven fabrics,11
12938,amusement park emergency procedures,19
12939,configure electronic equipment,17
12940,mine safety legislation,2
12941,mix construction grouts,7
12942,prepare audiologist patients for assessments,23
12943,manufacturing of pumps and compressors,6
12944,ICT sales methodologies,5
12945,collect fees for toilet usage,16
12946,operate tram controls,14
12947,prepare rubber materials,11
12948,coordinate transport fleet,14
12949,tend belt branding machine,11
12950,construct wood roofs,6
12951,MOEM,13
12952,digital image processing,2
12953,conduct environmental site assessments,10
12954,receive veterinary clients and their animals for appointments,0
12955,process arisings from treework operations,6
12956,support a designer in the developing process,2
12957,sand blasting machine parts,11
12958,cut tobacco leaves,15
12959,oversee cargo storage requirements,14
12960,tend deburring machine,6
12961,organise shellfish depuration,3
12962,position vehicles for maintenance and repair,14
12963,contextualise artistic work,7
12964,operate vessel engine room,13
12965,CA Datacom/DB,8
12966,prevent fires on board,2
12967,conduct forklift inspections,6
12968,road traffic laws,0
12969,perform cleaning activities in an environmentally friendly way,11
12970,Aircrack (penetration testing tool),8
12971,stack goods,19
12972,compression moulding machine parts,21
12973,assess impact of industrial activities,10
12974,understand written German,18
12975,develop irrigation strategies,1
12976,human-computer interaction,17
12977,manufacturing plant equipment,9
12978,coordinate government activities in foreign institutions,13
12979,develop food safety programmes,15
12980,supervise routine maintenance of airport lighting systems,14
12981,social work theory,5
12982,develop data link services for navigation purposes,4
12983,product usage risks analysis,14
12984,study a collection,8
12985,composition of bakery goods,15
12986,organise rehearsals,23
12987,cooperate in linguistic process steps,18
12988,historic architecture,8
12989,operate dry cleaning pressing machines,2
12990,organic chemistry,1
12991,advise on tanning treatments,16
12992,supervise script preparation,22
12993,apply adhesive wall coating,11
12994,assist during take off and landing,3
12995,connect oil well heads,2
12996,repair battery components,17
12997,understand spoken German,18
12998,automatic control system,17
12999,install automotive electrical equipment,14
13000,call-centre technologies,0
13001,set up stage decks,23
13002,place orders for textile materials,11
13003,transcreation,2
13004,clean building facade,2
13005,oncologic hormone therapy,12
13006,check correctness of information,17
13007,test improved aeronautical information management systems,14
13008,operate railway freight monitoring technologies,14
13009,manage cash transportation,8
13010,apply thermotherapy,21
13011,clean optical components,7
13012,handle spectator complaints,5
13013,manage project metrics,2
13014,types of paint,7
13015,apply decorative design to vehicles,14
13016,Montenegrin,18
13017,prepare warranty documents for electrical household appliances,17
13018,monitor technology trends,8
13019,manage profitability,16
13020,support social service users' positiveness,5
13021,observe human behaviour,3
13022,teach sociology,8
13023,impact investing,4
13024,promote education course,3
13025,monitor children's physical development,1
13026,assist students with their dissertation,3
13027,joint ventures,4
13028,remove contaminants,11
13029,manage service contracts in the drilling industry,16
13030,develop procedures in case of defects,6
13031,plan pyrotechnical effects,13
13032,decorate pastry for special events,15
13033,camping gear,19
13034,splice cable,11
13035,assess the quality of sport competitions,0
13036,supervise craft production,2
13037,hair products,3
13038,investigate road accidents,14
13039,understand written Slovak,18
13040,gemstones,24
13041,design warp knit fabrics,11
13042,follow directions of on-site director,19
13043,instruct library users in digital literacy,4
13044,theatre pedagogy,23
13045,agricultural business management,10
13046,biochemical processes of cider production,22
13047,write security reports,8
13048,video-games trends,4
13049,work with an artistic team,7
13050,inform on insurance products,14
13051,witness the signing of documents,8
13052,supervise work,3
13053,food and beverages on the menu,15
13054,use learning strategies,3
13055,rehabilitation of all organ systems,12
13056,operate voice picking systems,23
13057,operate nailing machinery,24
13058,ensure equipment cooling,11
13059,pack electronic equipment,17
13060,position core workpieces,9
13061,train staff on recycling programs,10
13062,identify sanding grits,11
13063,conduct educational activities,3
13064,digital journalism,5
13065,have good bedside manner,12
13066,clinical cytology,4
13067,tend CNC metal punch press,22
13068,procurement of ICT network equipment,5
13069,develop jewellery designs,24
13070,develop proposed choreographic language,3
13071,have emotional intelligence,3
13072,operate a heat treatment process,21
13073,legal requirements related to ammunition,5
13074,fit contact lenses,7
13075,apply basic rules of maintenance to leather goods and footwear machinery,3
13076,geothermal power plant operations,21
13077,prepare films for printing plates,11
13078,advise customers on financing options for vehicles,14
13079,find appropriate extras,3
13080,document costume stock,16
13081,decant wines,22
13082,comply with regulations,14
13083,plant according to guidelines,10
13084,design rigging plots,6
13085,Visual Basic,2
13086,operate veneer slicer,20
13087,assess data collected to improve community arts programme,1
13088,trace meat products,15
13089,define the visual universe of your creation,7
13090,advise on sustainability solutions,10
13091,breed goats ,0
13092,sterilise fermentation tanks,9
13093,tend thread rolling machine,6
13094,develop automated software tests,8
13095,mark migrating fish,3
13096,grant concessions,3
13097,support fishery training procedures,3
13098,manage business knowledge,3
13099,determine flow rate enhancement,2
13100,shape corporate culture,4
13101,create production schedules,13
13102,estimate value of used goods,16
13103,tanning process,16
13104,assemble musical instrument parts,23
13105,Gujarati,18
13106,attend to detail regarding jewellery creation,24
13107,security threats,1
13108,handle touristic quantitative data,19
13109,operate gear shaper,6
13110,create ceramic work by hand,7
13111,teach computer science,2
13112,flammable fluids,2
13113,work in an economically efficient manner,13
13114,spray test panel,7
13115,link data between all inland business units,4
13116,manage office facility systems,19
13117,tend centrifuge machines,6
13118,carve materials,11
13119,monitor system performance,8
13120,functionalities of machinery,9
13121,interact with users to gather requirements,3
13122,conduct nutrition research,15
13123,assess stability of vessels,3
13124,bake pastry for special events,15
13125,assist passengers in emergency situations,0
13126,add chemicals to drilling fluid,2
13127,forecast distribution activities,2
13128,manage life-cycle of metal powder,9
13129,conduct fish populations studies,3
13130,maintain ICT identity management,4
13131,operate nail gun,24
13132,feed the slate mixer,11
13133,build devices into props,13
13134,assess the compatibility of individuals and animals to work together,0
13135,social mediation,5
13136,develop business case,3
13137,curriculum standards,3
13138,impart business plans to collaborators,13
13139,assist customers in selecting music and video recordings,23
13140,make decisions,2
13141,enterprise risk management,14
13142,trade securities,4
13143,specialise in a musical genre,23
13144,measure chemical substance viscosity,2
13145,check water pressure,22
13146,develop aquaculture breeding strategies,3
13147,set up consumer electronics,16
13148,evaluate staff performance in social work,5
13149,Japanese,13
13150,monitor event activities,19
13151,advise on medical device features,4
13152,prepare assembled moulds for finishing,21
13153,dies,18
13154,history of chocolate,15
13155,physical science applied to paramedical practice,12
13156,identify market niches,4
13157,operate letterpress,13
13158,create base for products,11
13159,software components libraries,8
13160,food legislation,15
13161,maintain a production book,4
13162,repair household appliances,1
13163,comply with the principles of self-defence,1
13164,smart city features,5
13165,anchors used in inland water transport,14
13166,maintain fish harvesting equipment,8
13167,develop new products,11
13168,behavioural science,3
13169,use spreadsheets software,2
13170,have spatial awareness,0
13171,describe flavour of different wines,22
13172,manage sound quality,23
13173,analyse weather forecast,21
13174,design package,2
13175,perform dances,23
13176,measure nutritional health status of patients,15
13177,types of wood,6
13178,support nurses,12
13179,probability theory,2
13180,reconstruct modified documents,2
13181,pultrusion process,11
13182,Limburgish,13
13183,fix meetings,23
13184,test dental appliances for compliance,20
13185,support vessel manoeuvres,3
13186,types of trams,14
13187,use gemstone identification equipment,24
13188,mechanics of motor vehicles,6
13189,implement footwear marketing plan,3
13190,entertain guests interactively,23
13191,understand spoken Armenian,18
13192,implement cloud security and compliance,1
13193,define costume materials,16
13194,manage the fleet according to planned operations,14
13195,match needs of target community with your skills,13
13196,provide library information,8
13197,post-process of fish,3
13198,ensure vessel compliance with regulations,3
13199,select music for performance,23
13200,medico-biological and medical sciences related to dentistry,20
13201,load cargo,14
13202,general principles of food law,15
13203,set auction listing agreement,16
13204,write Estonian,18
13205,apply regulations on cargo transport operations,14
13206,review social service plan,5
13207,maintain treatment records,8
13208,analyse work-related written reports,8
13209,inspect printing output,11
13210,tend textile dyeing machines,6
13211,types of paper,11
13212,brief hospital staff,1
13213,pen components,7
13214,prepare oils,9
13215,design flying movements,14
13216,check chimney's conditions,2
13217,plan leather goods manufacture,11
13218,prepare assembly drawings,7
13219,air transport law,21
13220,decorate nails,24
13221,distribute technical information on operation of vehicles,14
13222,types of watches,6
13223,test paper production samples,11
13224,interfere with enemy communications,0
13225,transportation engineering,14
13226,analyse animal locomotion,0
13227,train dogs,0
13228,create clay figures,24
13229,operate tobacco drying technology,15
13230,core apples,22
13231,food homogenisation,15
13232,lactation,21
13233,urban pollution implications,10
13234,reputation management,19
13235,determine origin of gemstones,24
13236,provide tourism related information,19
13237,textile industry machinery products,11
13238,abide by business ethical code of conducts,3
13239,"agricultural raw materials, seeds and animal feed products",10
13240,understand written Limburgish,13
13241,tend coating machine,6
13242,work with different target groups,13
13243,clinical biochemistry,5
13244,manage allocation of tourism services,19
13245,process returned timber products,6
13246,cope with decompression,12
13247,issue sales invoices,16
13248,report accounts of the professional activity,3
13249,test leather chemistry,11
13250,change power distribution systems,17
13251,work in underwater chamber,1
13252,maintain cage nets,0
13253,follow-up on healthcare users' treatment,12
13254,instrument performance elements,23
13255,understand spoken Luxembourgish,18
13256,film music techniques,7
13257,consult with industry professionals,19
13258,repair edge banding machinery,11
13259,Buddhism,4
13260,prescribe treatments related to surgical procedures,12
13261,craftsmanship,2
13262,formulate cosmetic products,16
13263,report medication interaction to pharmacist,1
